,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,latitude,longitude,elevation,easting,northing,utm zone,rotation angle,station id,survey,include,file
47,47,59,83,122,39.512388888888886,-113.9932972222222,1224.0,242662.4279922053,4377918.442228189,b'12S',0,UTP13,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTP13.2011.edi
48,48,60,84,133,39.5152,-117.48099722222223,1882.0,458653.24899232975,4374061.845757173,b'11S',0,NVP09,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVP09.2010.edi
49,49,61,85,27,39.52593055555555,-114.90041111111113,1842.0,680461.2450480013,4377247.156385888,b'11S',0,NVP12,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVP12.2011.edi
50,50,62,86,15,39.52876388888889,-112.38817777777778,1458.0,380692.8120639496,4376376.735533691,b'12S',0,UTP15,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTP15.2011.edi
51,51,63,87,143,39.5488,-116.46599722222223,1890.0,545881.0357229883,4377816.526773067,b'11S',0,NVP10,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVP10.2010.edi
52,52,64,88,206,39.549261111111115,-113.28138333333334,1592.0,303977.5393822037,4380217.217044548,b'12S',0,UTP14,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTP14.2011.edi
53,53,65,89,168,39.56163333333333,-110.94361388888888,1973.0,504843.73778698547,4379106.168476459,b'12S',0,UTP17,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTP17.2011.edi
54,54,66,90,45,39.58788888888889,-121.24110833333332,962.0,651041.63888953,4383496.210367371,b'10S',0,cax208,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax208.2007-2010.edi
55,55,67,91,124,39.5914,-121.33200000000001,686.0,643228.8191579465,4383737.113643155,b'10S',0,CAP04,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAP04.2010.edi
56,56,68,92,201,39.5952638888889,-115.90925277777778,1928.0,593654.2914832387,4383405.256736502,b'11S',0,NVP11,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVP11.2011.edi
57,57,69,93,80,39.61480277777778,-108.37723055555556,2495.0,725146.5574641741,4388292.550792275,b'12S',0,COP20,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.COP20.2011.edi
58,58,70,94,73,39.61613888888889,-107.61131944444445,1875.0,275840.78744717943,4388412.215294913,b'13S',0,COP21,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.COP21.2011.edi
59,59,71,95,98,39.62609722222222,-118.98699722222223,1235.0,329462.60415396065,4388145.382345775,b'11S',0,NVP07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVP07.2010.edi
60,60,72,96,228,39.6379,-109.25721388888887,2056.0,649550.8351217114,4389020.126333643,b'12S',0,UTP19,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTP19.2011.edi
61,61,73,97,109,39.6414,-122.3519972222222,118.0,555601.8011343967,4388157.960371996,b'10S',0,CAP03,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAP03.2010.edi
62,62,74,98,103,39.65081666666666,-118.1467722222222,1067.0,401613.8527734492,4389630.7789326515,b'11S',0,NVP08,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVP08.2011.edi
63,63,75,99,138,39.655027777777775,-119.36127777777777,1345.0,297420.666715018,4392134.57222196,b'11S',0,cax201,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax201.2007-2010.edi
64,64,76,100,191,39.702975,-123.064,1331.0,494513.3826212194,4394793.15334817,b'10S',0,CAP02,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAP02.2010.edi
65,65,77,101,53,39.70458055555557,-120.22485833333332,1505.0,737920.2116701772,4398651.826812756,b'10S',0,cax204,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax204.2007-2010.edi
66,66,78,102,218,39.71277777777778,-120.94802777777778,1759.0,675894.371400604,4397892.101512685,b'10S',0,cax207,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax207.2007-2010.edi
68,68,80,104,25,39.72383611111111,-110.13939444444445,2219.0,573756.6256626749,4397460.48306397,b'12S',0,UTP18,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTP18.2011.edi
69,69,81,105,253,39.72766666666667,-119.92019166666668,1647.0,249725.85783388038,4401609.874514978,b'11S',0,cax203,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax203.2007-2010.edi
70,70,82,106,242,39.732108333333336,-120.37663888888888,1488.0,724816.4594227419,4401315.618009388,b'10S',0,cax205,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax205.2007-2010.edi
